permit_number,inspection_date,inspection_type,result,notes,inspector_name,reinspection_flag,source_url
ELR-2026-0201,2026-04-04,Rough-in,Pass,Branch circuit routing and box fill acceptable for remodel scope.,Inspector Ruiz,false,https://example.local/dallas/inspections/ELR-2026-0201/1
ELR-2026-0201,2026-04-09,Final,Fail,Kitchen GFCI protection missing and device trim incomplete at backsplash wall.,Inspector Ruiz,false,https://example.local/dallas/inspections/ELR-2026-0201/2
ELR-2026-0201,2026-04-12,Correction follow-up,Pass,GFCI added and final trim completed for approval.,Inspector Ruiz,true,https://example.local/dallas/inspections/ELR-2026-0201/3
ELR-2026-0207,2026-04-08,Rough-in,Pass,Remodel branch routing and box placement acceptable before device install.,Inspector Ruiz,false,https://example.local/dallas/inspections/ELR-2026-0207/1
ELR-2026-0207,2026-04-13,Final,Fail,Required kitchen GFCI protection missing and two counter receptacle devices not trimmed out.,Inspector Ruiz,false,https://example.local/dallas/inspections/ELR-2026-0207/2
ELR-2026-0207,2026-04-16,Correction follow-up,Pass,GFCI protection installed and remaining device trim completed for approval.,Inspector Ruiz,true,https://example.local/dallas/inspections/ELR-2026-0207/3
ELS-2026-0202,2026-04-08,Rough-in,Pass,Riser route and grounding path acceptable before service release.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0202/1
ELS-2026-0202,2026-04-10,Service release,Not Ready,Disconnect area blocked and homeowner unable to provide clear meter access for release inspection.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0202/2
ELS-2026-0202,2026-04-15,Correction follow-up,Pass,Site access cleared and release approved after scheduling return visit.,Inspector Khan,true,https://example.local/dallas/inspections/ELS-2026-0202/3
ELP-2026-0203,2026-03-17,Rough-in,Partial,Most damaged wiring repaired but hallway trim incomplete before closeout.,Inspector Patel,false,https://example.local/dallas/inspections/ELP-2026-0203/1
ELP-2026-0203,2026-03-22,Correction follow-up,Pass,Remaining trim complete and branch repairs accepted.,Inspector Patel,true,https://example.local/dallas/inspections/ELP-2026-0203/2
ELP-2026-0209,2026-04-09,Rough-in,Partial,Bedroom branch wiring repaired but trim-out incomplete and one switch device still missing.,Inspector Patel,false,https://example.local/dallas/inspections/ELP-2026-0209/1
ELP-2026-0209,2026-04-15,Correction follow-up,Pass,Missing switch device installed and remaining trim-out completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELP-2026-0209/2
ELN-2026-0204,2026-04-11,Rough-in,Fail,Subpanel grounding incomplete and panel schedule missing at detached unit.,Inspector Thomas,false,https://example.local/dallas/inspections/ELN-2026-0204/1
ELN-2026-0204,2026-04-16,Correction follow-up,Partial,Grounding corrected but final trim and breaker labeling still incomplete.,Inspector Thomas,true,https://example.local/dallas/inspections/ELN-2026-0204/2
ELN-2026-0204,2026-04-20,Final,Pass,Trim complete and panel labeling verified for approval.,Inspector Thomas,true,https://example.local/dallas/inspections/ELN-2026-0204/3
ELN-2026-0208,2026-04-10,Rough-in,Fail,Grounding electrode connection incomplete and detached unit panel schedule not posted.,Inspector Thomas,false,https://example.local/dallas/inspections/ELN-2026-0208/1
ELN-2026-0208,2026-04-17,Correction follow-up,Partial,Grounding corrected but final trim and breaker labeling still incomplete at garage apartment panel.,Inspector Thomas,true,https://example.local/dallas/inspections/ELN-2026-0208/2
ELN-2026-0208,2026-04-21,Final,Pass,Final trim completed and panel labeling verified for approval.,Inspector Thomas,true,https://example.local/dallas/inspections/ELN-2026-0208/3
ELM-2026-0205,2026-04-12,Final,Cancelled,Inspector unable to enter site after locked gate and no contact on file.,Inspector West,false,https://example.local/dallas/inspections/ELM-2026-0205/1
ELM-2026-0205,2026-04-18,Final,Pending,Rescheduled final shows work substantially complete and awaiting recorded disposition.,Inspector West,true,https://example.local/dallas/inspections/ELM-2026-0205/2
ELM-2026-0205,2026-04-21,Correction follow-up,Pass,Recorded final approval after contractor confirmed outlet spacing and access.,Inspector West,true,https://example.local/dallas/inspections/ELM-2026-0205/3
ELS-2026-0210,2026-04-11,Rough-in,Pass,Service riser route and grounding path acceptable before utility release visit.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0210/1
ELS-2026-0210,2026-04-14,Service release,Not Ready,Meter socket access blocked by fencing and homeowner unavailable for the utility release appointment.,Inspector Khan,false,https://example.local/dallas/inspections/ELS-2026-0210/2
ELS-2026-0210,2026-04-18,Correction follow-up,Pass,Fence gate opened and meter access cleared so the service release could be approved on the return visit.,Inspector Khan,true,https://example.local/dallas/inspections/ELS-2026-0210/3
ELM-2026-0211,2026-04-12,Rough-in,Pass,Rear addition branch routing and box placement acceptable before final trim.,Inspector West,false,https://example.local/dallas/inspections/ELM-2026-0211/1
ELM-2026-0211,2026-04-14,Final,Not Ready,Locked side gate prevented access to the rear addition devices and no adult was on site for entry.,Inspector West,false,https://example.local/dallas/inspections/ELM-2026-0211/2
ELM-2026-0211,2026-04-19,Correction follow-up,Pass,Rear gate opened and final devices verified for approval on the return visit.,Inspector West,true,https://example.local/dallas/inspections/ELM-2026-0211/3
ELM-2026-0212,2026-04-13,Rough-in,Pass,Kitchen lighting branch routing acceptable before trim-out.,Inspector West,false,https://example.local/dallas/inspections/ELM-2026-0212/1
ELM-2026-0212,2026-04-16,Final,Cancelled,Final inspection cancelled after no site contact was available for the scheduled visit.,Inspector West,false,https://example.local/dallas/inspections/ELM-2026-0212/2
ELM-2026-0212,2026-04-20,Final,Pending,Rescheduled final was completed but the disposition was still awaiting office entry.,Inspector West,true,https://example.local/dallas/inspections/ELM-2026-0212/3
ELM-2026-0212,2026-04-24,Correction follow-up,Pass,Recorded final approval after disposition entry and trim verification.,Inspector West,true,https://example.local/dallas/inspections/ELM-2026-0212/4
